site_type,shop_id,shop_name,postal_code,prefecture,city,town,area,number,building,delivery_area_id
7,857,鎌倉大船モール店,2440842,神奈川県,横浜市栄区,飯島町,,,,7_857_2440842_6aOv5bO255S6
7,857,鎌倉大船モール店,2440843,神奈川県,横浜市栄区,長尾台町,,,,7_857_2440843_6ZW35bC-5Y-w55S6
7,857,鎌倉大船モール店,2470006,神奈川県,横浜市栄区,笠間,5丁目,,,7_857_2470006_56yg6ZaTNeS4geebrg
7,857,鎌倉大船モール店,2470006,神奈川県,横浜市栄区,笠間,1丁目,,,7_857_2470006_56yg6ZaTMeS4geebrg
7,857,鎌倉大船モール店,2470006,神奈川県,横浜市栄区,笠間,3丁目,,,7_857_2470006_56yg6ZaTM-S4geebrg
7,857,鎌倉大船モール店,2470006,神奈川県,横浜市栄区,笠間,4丁目,,,7_857_2470006_56yg6ZaTNOS4geebrg
7,857,鎌倉大船モール店,2470006,神奈川県,横浜市栄区,笠間,2丁目,,,7_857_2470006_56yg6ZaTMuS4geebrg
7,857,鎌倉大船モール店,2470051,神奈川県,鎌倉市,岩瀬,1丁目,,,7_857_2470051_5bKp54CsMeS4geebrg
7,857,鎌倉大船モール店,2470055,神奈川県,鎌倉市,小袋谷,1丁目,,,7_857_2470055_5bCP6KKL6LC3MeS4geebrg
7,857,鎌倉大船モール店,2470055,神奈川県,鎌倉市,小袋谷,2丁目,,,7_857_2470055_5bCP6KKL6LC3MuS4geebrg
7,857,鎌倉大船モール店,2470056,神奈川県,鎌倉市,大船,1丁目,,,7_857_2470056_5aSn6Ii5MeS4geebrg
7,857,鎌倉大船モール店,2470056,神奈川県,鎌倉市,大船,6丁目,,,7_857_2470056_5aSn6Ii5NuS4geebrg
7,857,鎌倉大船モール店,2470056,神奈川県,鎌倉市,大船,2丁目,,,7_857_2470056_5aSn6Ii5MuS4geebrg
7,857,鎌倉大船モール店,2470056,神奈川県,鎌倉市,大船,5丁目,,,7_857_2470056_5aSn6Ii5NeS4geebrg
7,857,鎌倉大船モール店,2470056,神奈川県,鎌倉市,大船,3丁目,,,7_857_2470056_5aSn6Ii5M-S4geebrg
7,857,鎌倉大船モール店,2470056,神奈川県,鎌倉市,大船,4丁目,,,7_857_2470056_5aSn6Ii5NOS4geebrg
7,857,鎌倉大船モール店,2470061,神奈川県,鎌倉市,台,1丁目,,,7_857_2470061_5Y-wMeS4geebrg
7,857,鎌倉大船モール店,2470061,神奈川県,鎌倉市,台,2丁目,,,7_857_2470061_5Y-wMuS4geebrg
7,857,鎌倉大船モール店,2470071,神奈川県,鎌倉市,玉縄,3丁目,,,7_857_2470071_546J57iEM-S4geebrg
7,857,鎌倉大船モール店,2470071,神奈川県,鎌倉市,玉縄,1丁目,,,7_857_2470071_546J57iEMeS4geebrg
7,857,鎌倉大船モール店,2470071,神奈川県,鎌倉市,玉縄,2丁目,,,7_857_2470071_546J57iEMuS4geebrg
7,857,鎌倉大船モール店,2470071,神奈川県,鎌倉市,玉縄,4丁目,,,7_857_2470071_546J57iENOS4geebrg
7,857,鎌倉大船モール店,2470071,神奈川県,鎌倉市,玉縄,5丁目,,,7_857_2470071_546J57iENeS4geebrg
7,857,鎌倉大船モール店,2470072,神奈川県,鎌倉市,岡本,,,,7_857_2470072_5bKh5pys
7,857,鎌倉大船モール店,2470072,神奈川県,鎌倉市,岡本,1丁目,,,7_857_2470072_5bKh5pysMeS4geebrg
7,857,鎌倉大船モール店,2470072,神奈川県,鎌倉市,岡本,2丁目,,,7_857_2470072_5bKh5pysMuS4geebrg
7,857,鎌倉大船モール店,2470073,神奈川県,鎌倉市,植木,,,,7_857_2470073_5qSN5pyo
7,857,鎌倉大船モール店,2470074,神奈川県,鎌倉市,城廻,,,,7_857_2470074_5Z-O5bu7
7,857,鎌倉大船モール店,2470075,神奈川県,鎌倉市,関谷,,,,7_857_2470075_6Zai6LC3
7,857,鎌倉大船モール店,2510002,神奈川県,藤沢市,大鋸,,,,7_857_2510002_5aSn6Yu4
7,857,鎌倉大船モール店,2510002,神奈川県,藤沢市,大鋸,3丁目,,,7_857_2510002_5aSn6Yu4M-S4geebrg
7,857,鎌倉大船モール店,2510002,神奈川県,藤沢市,大鋸,1丁目,,,7_857_2510002_5aSn6Yu4MeS4geebrg
7,857,鎌倉大船モール店,2510002,神奈川県,藤沢市,大鋸,2丁目,,,7_857_2510002_5aSn6Yu4MuS4geebrg
7,857,鎌倉大船モール店,2510003,神奈川県,藤沢市,柄沢,,,,7_857_2510003_5p-E5rKi
7,857,鎌倉大船モール店,2510003,神奈川県,藤沢市,柄沢,1丁目,,,7_857_2510003_5p-E5rKiMeS4geebrg
7,857,鎌倉大船モール店,2510003,神奈川県,藤沢市,柄沢,2丁目,,,7_857_2510003_5p-E5rKiMuS4geebrg
7,857,鎌倉大船モール店,2510004,神奈川県,藤沢市,藤が岡,3丁目,,,7_857_2510004_6Jek44GM5bKhM-S4geebrg
7,857,鎌倉大船モール店,2510004,神奈川県,藤沢市,藤が岡,1丁目,,,7_857_2510004_6Jek44GM5bKhMeS4geebrg
7,857,鎌倉大船モール店,2510004,神奈川県,藤沢市,藤が岡,2丁目,,,7_857_2510004_6Jek44GM5bKhMuS4geebrg
7,857,鎌倉大船モール店,2510005,神奈川県,藤沢市,並木台,1丁目,,,7_857_2510005_5Lim5pyo5Y-wMeS4geebrg
7,857,鎌倉大船モール店,2510005,神奈川県,藤沢市,並木台,2丁目,,,7_857_2510005_5Lim5pyo5Y-wMuS4geebrg
7,857,鎌倉大船モール店,2510011,神奈川県,藤沢市,渡内,,,,7_857_2510011_5rih5YaF
7,857,鎌倉大船モール店,2510011,神奈川県,藤沢市,渡内,3丁目,,,7_857_2510011_5rih5YaFM-S4geebrg
7,857,鎌倉大船モール店,2510011,神奈川県,藤沢市,渡内,1丁目,,,7_857_2510011_5rih5YaFMeS4geebrg
7,857,鎌倉大船モール店,2510011,神奈川県,藤沢市,渡内,2丁目,,,7_857_2510011_5rih5YaFMuS4geebrg
7,857,鎌倉大船モール店,2510011,神奈川県,藤沢市,渡内,4丁目,,,7_857_2510011_5rih5YaFNOS4geebrg
7,857,鎌倉大船モール店,2510011,神奈川県,藤沢市,渡内,5丁目,,,7_857_2510011_5rih5YaFNeS4geebrg
7,857,鎌倉大船モール店,2510012,神奈川県,藤沢市,村岡東,3丁目,,,7_857_2510012_5p2R5bKh5p2xM-S4geebrg
7,857,鎌倉大船モール店,2510012,神奈川県,藤沢市,村岡東,1丁目,,,7_857_2510012_5p2R5bKh5p2xMeS4geebrg
7,857,鎌倉大船モール店,2510012,神奈川県,藤沢市,村岡東,2丁目,,,7_857_2510012_5p2R5bKh5p2xMuS4geebrg
7,857,鎌倉大船モール店,2510012,神奈川県,藤沢市,村岡東,4丁目,,,7_857_2510012_5p2R5bKh5p2xNOS4geebrg
7,857,鎌倉大船モール店,2510013,神奈川県,藤沢市,小塚,,,,7_857_2510013_5bCP5aGa
7,857,鎌倉大船モール店,2510014,神奈川県,藤沢市,宮前,,,,7_857_2510014_5a6u5YmN
7,857,鎌倉大船モール店,2510016,神奈川県,藤沢市,弥勒寺,,,,7_857_2510016_5byl5YuS5a-6
7,857,鎌倉大船モール店,2510016,神奈川県,藤沢市,弥勒寺,3丁目,,,7_857_2510016_5byl5YuS5a-6M-S4geebrg
7,857,鎌倉大船モール店,2510016,神奈川県,藤沢市,弥勒寺,1丁目,,,7_857_2510016_5byl5YuS5a-6MeS4geebrg
7,857,鎌倉大船モール店,2510016,神奈川県,藤沢市,弥勒寺,2丁目,,,7_857_2510016_5byl5YuS5a-6MuS4geebrg
7,857,鎌倉大船モール店,2510016,神奈川県,藤沢市,弥勒寺,4丁目,,,7_857_2510016_5byl5YuS5a-6NOS4geebrg
7,857,鎌倉大船モール店,2510017,神奈川県,藤沢市,高谷,,,,7_857_2510017_6auY6LC3
